latitude,longitude,name,status,type,colour,DNR,EIGANDI,DAGS
64.1146879733543,-21.817160083575814,85580,,Götuljós,blue,479,Reykjavíkurborg - eignasjóður,2023/02/16
64.11441884029068,-21.814244666933906,85542,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11083478539506,-21.79948270806442,85567,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11145947832303,-21.801486853626308,85568,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11240688933708,-21.804441926842724,85544,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.113583343891,-21.810392565134144,85584,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
63.80168224629606,-29.181845231761617,82898,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13270829861806,-21.92810610365441,82937,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.09575920005413,-21.846089678256046,21329,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09612517706738,-21.846348509790452,21320,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.13437365983228,-21.929232539705332,82896,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13403951665826,-21.931408956139027,82918,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.1341750822337,-21.93127740483418,82857,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13455314662822,-21.930877646449492,82867,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13443554373163,-21.93100905372161,82863,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13429802001816,-21.931148622270708,82881,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13344814063913,-21.92921857774254,82866,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
63.80131550183923,-29.181713487241286,82860,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.09773961601562,-21.848100848198285,31269,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1998/09/28
64.1331697640053,-21.927933064435713,82882,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13323713395054,-21.92824238454369,82877,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13294351206329,-21.930369579783743,82865,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13306731024312,-21.92744941083859,82966,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13509019152488,-21.93025423996755,82853,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13310260102836,-21.92761348995308,82940,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
60.495523166598,-21.587698887259958,82931,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
